WARNING: 15 open meshes remove
     Removed: Fuselage
     Removed: Inner Fuselage
     Removed: Instrument Panel
     Removed: Bathroom and Coat Area
     Removed: Bathroom and Coat Area
     Removed: Bathroom and Coat Area
     Removed: Bathroom and Coat Area
     Removed: Turboprop Transparent
     Removed: Turboprop Transparent
     Removed: Propeller Cone
     Removed: Propeller Cone
     Removed: Power Shaft
     Removed: Power Shaft
     Removed: Electric Motor Power Shaft
     Removed: Electric Motor Power Shaft
WARNING: 6 open meshes merged
     Merged: Horizontal Stabilizer
     Merged: Truss Brace
     Merged: Galley
     Merged: Forward Bulkhead
     Merged: Overhead Bins
     Merged: Main Wing Transparent
...Mass Properties...
201 Num Comps
201 Total Num Meshes
171744 Total Num Tris

1871.570271             Total Mass
10.773449 -0.028768 -2.435520       Center of Gravity
336156.274379 519167.802453 799275.951889       Ixx, Iyy, Izz
1190.465318 45436.827206 107.246213       Ixy, Ixz, Iyz
1871.570271             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Horizontal Stabilizer	24.680194	46.049036	-0.000000	9.500000	689.449391	150.892741	839.783466	0.080375	0.009075	0.013906	24.680194
Vertical Stabilizer	114.081331	40.442282	0.000000	3.860075	1499.109456	3512.417883	2035.041276	-0.050669	1073.611453	0.007886	114.081331
Truss Brace	54.252449	11.162240	0.000000	-5.200517	13791.243139	672.286302	13744.418927	-0.256619	-247.959939	0.031711	54.252449
Floor	96.467309	3.438442	0.002159	-6.567806	413.397470	30542.868073	30924.895115	0.729219	378.710703	0.171297	96.467309
Forward Pressure Bulkhead	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Cockpit Seats	1.485043	-23.100068	1.750000	-5.375000	0.292450	3.283157	3.559376	-0.006022	-0.000664	0.000026	1.485043
Cockpit Seats	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Cockpit Seats	1.485043	-23.100068	-1.667000	-5.375000	0.292789	3.283157	3.559715	0.001547	0.002161	-0.000235	1.485043
Cockpit Seats	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Co-Pilot	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Co-Pilot	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Co-Pilot	0.358829	-23.100068	2.607143	-3.011529	0.006055	0.794338	0.794406	-0.000501	-0.000212	0.000042	0.358829
Co-Pilot	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Co-Pilot	0.358829	-23.100068	0.892857	-3.011529	0.006048	0.794332	0.794405	-0.000804	0.000212	0.000044	0.358829
Co-Pilot	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Co-Pilot	0.626064	-23.100068	2.092857	-5.071280	0.019305	1.387421	1.393266	0.000985	-0.000096	-0.000125	0.626064
Co-Pilot	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Co-Pilot	0.626064	-23.100068	1.407143	-5.071280	0.019324	1.387430	1.393277	0.004184	0.000142	0.000023	0.626064
Co-Pilot	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Pilot	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Pilot	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Pilot	0.358829	-23.100068	-0.892857	-3.011529	0.006055	0.794338	0.794406	-0.000721	-0.000097	-0.000048	0.358829
Pilot	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Pilot	0.358829	-23.100068	-2.607143	-3.011529	0.006055	0.794338	0.794406	-0.001655	-0.000201	0.000010	0.358829
Pilot	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Pilot	0.626064	-23.100068	-1.407143	-5.071280	0.019395	1.387473	1.393304	0.001164	-0.000599	-0.000216	0.626064
Pilot	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
